track_id,cluster_PCA,cluster_MCA,cluster_CATPCA,cluster_UMAP
3nqQXoyQOWXiESFLlDF1hG,0,0,2,0
2tTmW7RDtMQtBk7m2rYeSw,0,0,2,0
5ww2BF9slyYgNOk37BlC4u,0,0,2,1
4uUG5RXrOk84mYEfFvj3cK,1,3,0,1
6Sq7ltF9Qa7SNFBsV5Cogx,0,0,2,1
1IHWl5LamUGEuP4ozKQSXZ,0,0,3,1
4h9wh7iOZ0GGn8QVp4RAOB,0,0,2,0
5IgjP7X4th6nMNDh4akUHb,0,0,2,1
5Eax0qFko2dh7Rl2lYs3bx,0,0,2,1
4LRPiXqCikLlN15c3yImP7,0,0,0,1
3k3NWokhRRkEPhCzPmV8TW,4,0,0,1
6Xom58OOXk2SoU711L2IXO,0,0,2,1
6xGruZOHLs39ZbVccQTuPZ,3,1,1,2
3JvKfv6T31zO0ini8iNItO,3,2,1,1
31i56LZnwE6uSu3exoHjtB,0,0,2,0
2QjOHCTQ1Jl3zawyYOpxh6,0,0,2,0
7dSZ6zGTQx66c2GF91xCrb,3,0,2,0
1xzi1Jcr7mEi9K2RfzLOqS,0,0,2,0
4C6Uex2ILwJi9sZXRdmqXp,0,0,2,0
0WtM2NBVQNNJLh6scP13H8,0,0,2,0
0mBP9X2gPCuapvpZ7TGDk3,0,2,2,0
5XeFesFbtLpXzIVDNQP22n,3,2,1,1
79HZAZNnOE97rb2hnI0XQr,0,0,2,1
6i1g5ZRmJZAkDwBaUZ3f2i,0,2,0,2
0VjIjW4GlUZAMYd2vXMi3b,1,3,0,0
41oY4WCTj5kccfesTVFnvN,4,0,2,1
3F5CgOj3wFlRv51JsHbxhe,1,3,0,0
1797zYiX4cKosMH836X9Gt,0,3,2,1
1ga4PztXOIw1yBbdUt2X8v,0,0,2,1
4zN21mbAuaD0WqtmaTZZeP,0,0,2,1
7MXVkk9YMctZqd1Srtv4MB,0,2,2,0
1Fid2jjqsHViMX6xNH70hE,1,2,3,1
0hquQWY3xvYqN4qtiquniF,0,0,2,1
58HvfVOeJY7lUuCqF0m3ly,1,2,3,1
2eAvDnpXP5W0cVtiI0PUxV,0,2,0,2
75FEaRjZTKLhTrFGsfMUXR,3,0,1,1
7DbdUf8aHSYoliSjO6LZv6,4,2,0,1
4tYFy8ALRjIZvnvSLw5lxN,0,0,2,0
1cKHdTo9u0ZymJdPGSh6nq,1,2,0,0
0T5iIrXA4p5GsubkhuBIKV,3,2,1,2
2rurDawMfoKP4uHyb2kJBt,0,2,2,0
38T0tPVZHcPZyhtOcCP7pF,1,0,3,1
59nOXPmaKlBfGMDeOVGrIK,3,2,2,0
5QO79kh1waicV47BqGRL3g,0,0,0,0
7ef4DlsgrMEH11cDZd32M6,0,0,2,1
27ZZdyTSQWI7Cug2d2PkqV,0,0,2,0
4SqWKzw0CbA05TGszDgMlc,3,2,1,0
1DIXPcTDzTj8ZMHt3PDt8p,3,2,1,0
72yP0DUlWPyH8P7IoxskwN,0,0,2,0
0u2P5u6lvoDfwTYjAADbn4,3,1,1,1
5HCyWlXZPP0y6Gqq8TgA20,1,0,2,0
09mEdoA6zrmBPgTEN5qXmN,1,2,0,2
6UelLqGlWMcVH1E5c4H7lY,0,0,0,0
0HqZX76SFLDz2aW8aiqi7G,0,0,2,1
5jt25aFjW2kNoBqaEVaz5W,0,0,2,1
3fjN3y5x4hN53rykAN2LHQ,0,2,1,2
3WMj8moIAXJhHsyLaqIIHI,3,1,4,1
1PckUlxKqWQs3RlWXVBLw3,0,0,2,1
5FVd6KXrgO9B3JPmC8OPst,3,2,1,0
5O2P9iiztwhomNh8xkR9lJ,3,2,1,0
2TktkzfozZifbQhXjT6I33,3,2,1,2
6I3mqTwhRpn34SLVafSH7G,1,2,0,0
7lQ8MOhq6IN2w8EYcFNSUk,0,0,2,0
7795WJLVKJoAyVoOtCWqXN,3,2,1,0
02MWAaffLxlfxAUY7c5dvx,0,2,2,0
2gYj9lubBorOPIVWsTXugG,0,0,2,0
086myS9r57YsLbJpU0TgK9,0,0,2,0
4RVwu0g32PAqgUiJoXsdF8,3,1,1,2
4ZtFanR9U6ndgddUvNcjcG,0,2,2,0
7fBv7CLKzipRk6EC6TWHOB,1,0,3,1
3uUuGVFu1V7jTQL60S1r8z,3,0,2,1
1R0a2iXumgCiFb7HEZ7gUE,1,0,3,1
3rmo8F54jFF8OgYsqTxm5d,0,0,2,1
6Uj1ctrBOjOas8xZXGqKk4,0,0,2,1
2Ch7LmS7r2Gy2kc64wv3Bz,0,0,2,1
0pqnGHJpmpxLKifKRmU6WP,0,0,2,1
0kTMK4gNFfLXaTb62w1UaJ,0,0,2,0
2HZLXBOnaSRhXStMLrq9fD,1,3,0,0
5CZ40GBx1sQ9agT82CLQCT,3,2,1,0
6DoL1yYIwEW7VZMRaJhoJI,0,0,2,1
68Dni7IE4VyPkTOH9mRWHr,0,2,2,1
0BxE4FqsDD1Ot4YuBXwAPp,1,3,0,0
0fea68AdmYNygeTGI4RC18,0,0,2,0
5wANPM4fQCJwkGd4rN57mH,3,2,1,0
6VBhH7CyP56BXjp8VsDFPZ,3,2,1,0
3yfqSUWxFvZELEM4PmlwIR,0,0,2,1
6tCd8bPvYnceDG7W9M1RMk,0,0,2,2
3w3y8KPTfNeOKPiqUTakBh,0,0,2,0
4cacyP5c3PMlfnyjpg13xW,0,0,2,0
2JPLbjOn0wPCngEot2STUS,0,0,2,0
6HU7h9RYOaPRFeh0R3UeAr,1,2,0,0
4d4ZXH4dr5bYfgErHiZCX2,0,0,2,2
5CzixCxDkRXX9mScCmah8O,0,0,2,1
5TXDeTFVRVY7Cvt0Dw4vWW,3,1,1,1
4xqrdfXkTW4T0RauPLv3WA,3,2,1,2
10xV5l9nhLvFpR8mqzs0bL,0,0,2,1
4gzsuuZypVbxs0Af1LSZyB,1,0,3,1
